id,name,category_id,execution_phase,target_surface,attacker_position,artifact,privileges_sought,redacted_skill_summary,representative_behaviors,payload_included,live_code_included,evidence_basis,related_benchmarks,reference_urls,status
indirect_prompt_injection_web_content,Indirect Prompt Injection via Web Content,prompt_injection_and_task_hijacking,context ingestion,"web pages, documents, emails, rendered content",remote content author,"HTML, markdown, email body, document text",goal redirection and unsafe downstream actions,Third-party content embeds hidden or overt instructions that cause the agent to ignore the user objective and follow attacker-defined steps.,goal rewriting;ignore-previous-instructions lure;unsafe tool invocation after content ingestion,False,False,direct,injecagent;agentdojo;agentdyn,https://arxiv.org/abs/2403.02691;https://arxiv.org/abs/2406.13352;https://arxiv.org/abs/2602.03117,redacted_public_pattern
malicious_url_redirect_skill,Malicious URL and Redirect Processing,prompt_injection_and_task_hijacking,navigation and browsing,"URLs, redirects, landing pages, preview content",remote website operator,"URL strings, redirect chains, hostile pages",navigation control and phishing-style action steering,A crafted URL or redirect chain causes an agent to ingest attacker-controlled content or navigate into an unsafe workflow that changes the plan.,hostile redirect sequence;link-preview deception;navigation into trap content,False,False,direct,malurlbench;wasp,https://arxiv.org/abs/2601.18113;https://arxiv.org/abs/2504.18575,redacted_public_pattern
visual_prompt_injection_overlay,Visual Prompt Injection Overlay,prompt_injection_and_task_hijacking,screen perception and grounding,"screenshots, UI overlays, rendered images",remote page or UI manipulator,"visual overlay, deceptive screenshot element, image text",unsafe click or form submission,A visual-only cue or overlay exploits perception in computer-use agents so they take unsafe actions without a textual prompt attack.,screen-level instruction lure;visual misdirection;unsafe click sequence,False,False,direct,,https://arxiv.org/abs/2506.02456,redacted_public_pattern
dark_pattern_workflow_manipulation,Dark-Pattern Workflow Manipulation,prompt_injection_and_task_hijacking,interactive workflow execution,"web forms, consent dialogs, deceptive page layouts",website operator,"misleading forms, consent banners, dark-pattern UI","consent capture, policy bypass, accidental unsafe completion",A deceptive UI steers the agent into completing harmful or unwanted actions while the nominal task still appears plausible.,deceptive consent flow;misleading button hierarchy;harmful task completion under false framing,False,False,direct,,https://doi.org/10.1145/3742413.3789111;https://arxiv.org/abs/2503.04957,redacted_public_pattern
mcp_tool_description_poisoning,MCP Tool Description Poisoning,tool_metadata_and_mcp_poisoning,tool discovery and selection,"tool descriptions, manifests, metadata fields",tool or server author,"description text, manifest metadata, server-exposed fields",tool-selection bias and unsafe invocation,A tool advertises misleading metadata so the agent chooses it for a task it should not handle or trusts it more than it should.,misleading tool summary;priority inflation;unsafe capability framing,False,False,direct,mcptox;msb,https://arxiv.org/abs/2508.14925;https://arxiv.org/abs/2510.15994;https://arxiv.org/abs/2602.03580,redacted_public_pattern
mcp_caller_identity_confusion,MCP Caller Identity Confusion,tool_metadata_and_mcp_poisoning,authorization and routing,"identity fields, caller metadata, cross-server context",compromised tool or intermediary component,"caller labels, identity claims, routed requests",cross-tenant or over-broad access,"A tool or intermediary confuses who requested an action, leading the agent or server to authorize work using the wrong principal or scope.",user impersonation;cross-session confusion;wrong-principal execution,False,False,direct,mcp_safetybench,https://arxiv.org/abs/2603.07473;https://arxiv.org/abs/2512.15163,redacted_public_pattern
dependency_confusion_skill_package,Dependency Confusion Skill Package,dependency_supply_chain_poisoning,installation and dependency resolution,package registries and dependency manifests,package publisher,"package name, version, registry metadata",code execution during install or runtime,A malicious package is positioned so agent-managed installs resolve to the attacker package instead of the intended internal or trusted one.,name collision;registry precedence abuse;install-time compromise,False,False,adjacent,oscar;qut_dv25;synthchain,https://arxiv.org/abs/2409.09356;https://arxiv.org/abs/2505.13804;https://arxiv.org/abs/2603.16694,redacted_public_pattern
risky_dependency_update_agent,Risky Dependency Update Skill,dependency_supply_chain_poisoning,maintenance and automated updates,dependency upgrade pull requests and version selection,indirect ecosystem manipulation,"version constraints, dependency PRs, patch suggestions",introduction of vulnerable or disruptive versions,An autonomous update workflow selects versions that increase exposure or remediation cost even when safer alternatives exist.,unsafe version choice;registry-aware blind spot;security-regression update,False,False,direct,,https://arxiv.org/abs/2601.00205,redacted_public_pattern
system_prompt_policy_override,System Prompt and Policy Override,config_and_parameter_poisoning,configuration and planning,"system prompts, policy files, agent config","insider, compromised repo, or upstream config source","prompt file, config blob, hidden policy text",guardrail removal and approval bypass,"A poisoned configuration changes the agent policy itself, weakening refusal, approval, or scope constraints before tasks begin.",guardrail weakening;approval removal;role-policy inversion,False,False,direct,asb;backdooragent,https://arxiv.org/abs/2410.02644;https://arxiv.org/abs/2601.04566,redacted_public_pattern
argument_schema_poisoning,Argument and Schema Poisoning,config_and_parameter_poisoning,tool argument construction,"function schemas, default args, parameter hints",tool author or compromised integration layer,"JSON schema, arg defaults, tool signature metadata",unsafe scope expansion or dangerous defaults,Poisoned parameter defaults or schema descriptions nudge the agent toward a broader or more dangerous action than intended.,unsafe default values;scope expansion through args;parameter hint manipulation,False,False,direct,msb;gap,https://arxiv.org/abs/2510.15994;https://arxiv.org/abs/2602.16943,redacted_public_pattern
adapter_backdoor_trigger,Adapter or Parameter Backdoor Trigger,config_and_parameter_poisoning,model loading and inference,"fine-tuned weights, adapters, poisoned training preferences",model provider or compromised training pipeline,"adapter checkpoint, poisoned preference data, hidden trigger",conditional unsafe behavior after trigger activation,A hidden trigger embedded in model parameters or alignment data activates unsafe agent behavior only under specific cues.,latent trigger activation;conditional policy inversion;backdoor-mediated tool misuse,False,False,adjacent,poisonbench;elba_bench;backdooragent,https://arxiv.org/abs/2410.08811;https://arxiv.org/abs/2502.18511;https://arxiv.org/abs/2601.04566,redacted_public_pattern
persistent_memory_seed,Persistent Memory Seed,memory_and_retrieval_poisoning,memory write and later retrieval,"long-term memory, notes, stored plans",remote content or previous-session manipulator,"memory entry, saved note, prior plan",delayed unsafe execution,"A malicious note or plan fragment is planted into memory so that a later, otherwise benign task retrieves and follows it.",delayed trigger;plan replay;unsafe memory recall,False,False,direct,backdooragent,https://arxiv.org/abs/2601.04566;https://arxiv.org/abs/2505.14215,redacted_public_pattern
retrieval_corpus_contamination,Retrieval Corpus Contamination,memory_and_retrieval_poisoning,retrieval and grounding,"RAG corpora, search results, retrieved files",content publisher or indexing adversary,"retrieved snippet, indexed document, search result",unsafe guidance via trusted retrieval,"Retrieved content is treated as trustworthy context and quietly degrades safety by biasing plans, actions, or approvals.",unsafe retrieval grounding;context poisoning;trusted-source abuse,False,False,direct,ras_eval,https://arxiv.org/abs/2505.14215;https://arxiv.org/abs/2506.15253,redacted_public_pattern
overprivileged_os_action_chain,Overprivileged OS Action Chain,high_privilege_tool_misuse,tool execution,"desktop, filesystem, browser, shell, admin actions",malicious user request or hijacked workflow,"tool command sequence, GUI actions",irreversible system-side effects,A high-privilege tool chain performs destructive or security-sensitive operations that exceed the original task scope.,sensitive setting change;credential exposure path;unsafe file or system modification,False,False,direct,os_harm,https://arxiv.org/abs/2506.14866;https://arxiv.org/abs/2508.00935;https://arxiv.org/abs/2509.07764,redacted_public_pattern
